x,y,z
1532333259.04,4403807.024803351581396636549300,-1596398.721696389938704739711532,6307538.006679087817091184734617
1532333264.04,4410186.583758877038553222492364,-1614728.005346612950555089761007,6322770.548666418806685344447143
1532333269.04,4416463.419403921385110511935820,-1633029.188123529329649731527081,6337874.128059651272150768431711
1532333274.04,4422638.087736672273001345180699,-1651302.069439991371248233778893,6352849.387691945363891659323226
1532333279.04,4428711.137700493742635809908560,-1669546.451016019708697469173597,6367696.961529508137764460165069
1532333284.04,4434683.111314040485652829424825,-1687762.136815615504637651619149,6382417.474826346917573202280823
1532333289.04,4440554.543798356220512935373982,-1705948.932985354848096699566163,6397011.544275333179833539046599
1532333294.04,4446325.963700827524640017145130,-1724106.647794717901740653155228,6411479.778155783374535061342002
1532333299.04,4451997.893016325502506220377791,-1742235.091578056907216323258775,6425822.776477553905698627798901
1532333304.04,4457570.847305389322200323250327,-1760334.076678175405338131064425,6440041.131121775171168286511078
1532333309.04,4463045.335809694222723082339734,-1778403.417391454613515860767456,6454135.425978349874234203390136
1532333314.04,4468421.861564810961864199208990,-1796442.929914481587930889009922,6468106.237080314535151472015176
1532333319.04,4473700.921510343304625374063799,-1814452.432292117298109451393435,6481954.132735017818678483940952
1532333324.04,4478883.006597502632104257338555,-1832431.744366964927594584382965,6495679.673652458336213876771239
1532333329.04,4483968.601894270210042025405280,-1850380.687730191977553690249784,6509283.413070564697940515384500
1532333334.04,4488958.186688129913056829326972,-1868299.085673664684883381659608,6522765.896877732531424380300665
1532333339.04,4493852.234586436649436827489887,-1886186.763143326758089997141414,6536127.663732631505547616044869
1532333344.04,4498651.213614520070492671653622,-1904043.546693827901668351053122,6549369.245181214823164901023586
1532333349.04,4503355.586311669590073475589427,-1921869.264444317854192070505415,6562491.165771256112177775886421
1532333354.04,4507965.809824854187103069366987,-1939663.746035392301954524357607,6575493.943164252353074016006277
1532333359.04,4512482.336000407839744148072957,-1957426.822587134010255406619628,6588378.088244894580050289573754
1532333364.04,4516905.611473719634296168904540,-1975158.326658246304391172532956,6601144.105228174414539916976049
1532333369.04,4521236.077756883488045575735621,-1992858.092206211476769668475560,6613792.491764045647263454418180
1532333374.04,4525474.171324456588037136922670,-2010525.954548447801943033577317,6626323.739039907938429122843299
1532333379.04,4529620.323697359065949444261877,-2028161.750324451470597706336835,6638738.331880815255872996395637
1532333384.04,4533674.961524946260242080205868,-2045765.317458877743632614434603,6651036.748847546133170336883481
1532333389.04,4537638.506665279590452278713623,-2063336.495125522855663883400068,6663219.462332540654877549002048
1532333394.04,4541511.376263684245249433547249,-2080875.123712206923091490732773,6675286.938653811733453931293749
1532333399.04,4545293.982829706092009245201452,-2098381.044786493458246103915608,6687239.638146847533191521501910
1532333404.04,4548986.734312288165142040296646,-2115854.101062250819377865384048,6699078.015254572421691126171314
1532333409.04,4552590.034173473941242685342757,-2133294.136367017571964420150348,6710802.518615357718358333602702
1532333414.04,4556104.281460470457674451309044,-2150700.995610120794693996286257,6722413.591149260176279288390039
1532333419.04,4559529.870876312090012450999330,-2168074.524751594313787144338383,6733911.670142393861608719394082
1532333424.04,4562867.192848898986948766858986,-2185414.570771777609487864087913,6745297.187329571600755377150361
1532333429.04,4566116.633598731991143010088633,-2202720.981641663052265499912155,6756570.568975187590622988279672
1532333434.04,4569278.575205203833863412094196,-2219993.606293901025407999826131,6767732.235952520433097759955470
1532333439.04,4572353.395671473417521110630865,-2237232.294594502440414218282893,6778782.603821255002295349132359
1532333444.04,4575341.468988110818950952375031,-2254436.897315124301341171019775,6789722.082903553944159318580819
1532333449.04,4578243.165195353613594402698250,-2271607.266106073835146916841859,6800551.078358489093650755724828
1532333454.04,4581058.850444148653548229645005,-2288743.253469828092159692704007,6811269.990254955186895335281210
1532333459.04,4583788.887055965056566395323929,-2305844.712735218760339346495113,6821879.213643168334852558364819
1532333464.04,4586433.633581364164061435450387,-2322911.498032114812491157862996,6832379.138624636660695334062668
1532333469.04,4588993.444857447910766941778154,-2339943.464266722865782338879627,6842770.150420779925333659399075
1532333474.04,4591468.672064098679112262363315,-2356940.467097382437842829206477,6853052.629440131005919972122843
1532333479.04,4593859.662779200605181800304630,-2373902.362910902022738066805292,6863226.951344223348126232172528
1532333484.04,4596166.761032662985676187217718,-2390829.008799392962311477203000,6873293.487112152100174999198060
1532333489.04,4598390.307359438021430424836342,-2407720.262537604731738332076232,6883252.603103823945920020567114
1532333494.04,4600530.638851523776431478604476,-2424575.982560703629588178698667,6893104.661121993047874558926869
1532333499.04,4602588.089208899767603045701729,-2441396.027942566152988308114043,6902850.018473066342209169330856
